timestamp,temperature,windspeed,rh
2023-03-11T03:20Z,-1,3,86
2023-03-11T03:50Z,-2,2,93
2023-03-11T04:20Z,-2,3,93
2023-03-11T04:50Z,-3,2,93
2023-03-11T05:20Z,-3,5,93
2023-03-11T05:50Z,-4,1,93
2023-03-11T06:50Z,-4,1,93
2023-03-11T07:20Z,-3,3,93
2023-03-11T07:50Z,-2,1,93
2023-03-11T08:50Z,0,1,87
2023-03-11T09:20Z,1,1,93
2023-03-11T09:50Z,3,2,75
2023-03-11T10:20Z,4,5,65
2023-03-11T10:50Z,4,7,70
2023-03-11T11:20Z,5,7,66
2023-03-11T11:50Z,5,9,66
2023-03-11T12:20Z,5,10,66
2023-03-11T12:50Z,5,12,61
2023-03-11T13:20Z,5,12,66
2023-03-11T13:50Z,6,12,57
2023-03-11T14:20Z,5,13,61
2023-03-11T14:50Z,5,10,61
2023-03-11T15:20Z,5,13,61
2023-03-11T15:50Z,5,13,61
2023-03-11T16:20Z,5,12,61
2023-03-11T16:50Z,5,13,57
2023-03-11T17:20Z,4,10,65
2023-03-11T17:50Z,4,12,65
2023-03-11T18:20Z,4,13,70
2023-03-11T18:50Z,4,13,70
2023-03-11T19:20Z,4,12,70
2023-03-11T19:50Z,4,12,70
2023-03-12T04:50Z,0,5,100
2023-03-12T05:20Z,1,5,93
2023-03-12T05:50Z,1,3,100
2023-03-12T06:20Z,2,3,93
2023-03-12T06:50Z,1,3,100
2023-03-12T07:20Z,4,5,100
2023-03-12T07:50Z,7,15,87
2023-03-12T08:20Z,9,18,82
2023-03-12T08:50Z,9,18,82
2023-03-12T09:20Z,10,18,82
2023-03-12T09:50Z,10,18,82
2023-03-12T10:20Z,10,14,82
2023-03-12T10:50Z,11,18,82
2023-03-12T11:20Z,10,23,82
2023-03-12T11:50Z,11,26,77
2023-03-12T12:50Z,12,24,72
2023-03-12T13:20Z,11,25,72
2023-03-12T13:50Z,12,21,67
2023-03-12T14:20Z,10,22,71
2023-03-12T14:50Z,10,17,76
2023-03-12T15:20Z,10,24,82
2023-03-12T15:50Z,10,20,76
2023-03-12T16:20Z,9,16,87
2023-03-12T16:50Z,9,18,87
2023-03-12T17:20Z,9,20,87
2023-03-12T17:50Z,9,18,87
2023-03-12T18:20Z,9,14,87
2023-03-12T18:50Z,9,13,87
2023-03-12T19:20Z,9,10,87
2023-03-12T20:20Z,10,7,82
2023-03-12T20:50Z,10,6,82
2023-03-12T21:20Z,10,13,82
2023-03-12T21:50Z,10,20,82
2023-03-12T22:20Z,10,18,88
2023-03-12T22:50Z,10,13,88
2023-03-12T23:20Z,10,7,88
2023-03-13T00:50Z,9,2,94
2023-03-13T01:20Z,9,3,94
2023-03-13T01:50Z,8,6,100
2023-03-13T02:20Z,8,6,100
2023-03-13T02:50Z,8,5,100
2023-03-13T03:20Z,8,3,93
2023-03-13T03:50Z,8,3,93
2023-03-13T04:20Z,8,2,93
2023-03-13T04:50Z,8,2,100
2023-03-13T05:50Z,11,13,94
2023-03-13T06:20Z,11,13,94
2023-03-13T06:50Z,11,21,88
2023-03-13T07:20Z,11,18,88
2023-03-13T07:50Z,10,14,94
2023-03-13T08:50Z,11,20,88
2023-03-13T09:20Z,11,18,88
2023-03-13T09:50Z,11,17,94
2023-03-13T10:20Z,11,8,94
2023-03-13T10:50Z,6,12,93
2023-03-13T11:20Z,6,14,93
2023-03-13T11:50Z,5,14,100
2023-03-13T12:20Z,5,12,93
2023-03-13T12:50Z,5,16,93
2023-03-13T13:20Z,4,15,93
2023-03-13T13:50Z,4,10,93
2023-03-13T14:50Z,4,13,93
2023-03-13T15:20Z,3,9,93
2023-03-13T15:50Z,3,5,93
2023-03-13T16:20Z,3,5,93
2023-03-13T16:50Z,2,6,93
2023-03-13T17:20Z,2,8,93
2023-03-13T17:50Z,3,7,93
2023-03-13T18:20Z,3,10,87
2023-03-13T18:50Z,3,6,87
2023-03-13T19:20Z,2,2,93
2023-03-13T19:50Z,2,2,93
2023-03-14T00:50Z,1,3,75
2023-03-14T01:20Z,0,2,75
2023-03-14T01:50Z,0,5,75
2023-03-14T02:20Z,0,2,75
2023-03-14T02:50Z,-1,2,86
2023-03-14T03:20Z,-3,7,86
2023-03-14T04:20Z,-4,7,93
2023-03-14T04:50Z,-3,7,86
2023-03-14T05:20Z,-2,5,86
2023-03-14T05:50Z,-1,6,86
2023-03-14T06:20Z,-1,0,86
2023-03-14T06:50Z,-2,0,86
2023-03-14T07:20Z,-1,0,86
2023-03-14T08:20Z,1,9,87
2023-03-14T08:50Z,2,10,81
2023-03-14T09:20Z,2,12,75
2023-03-14T10:20Z,3,8,70
2023-03-14T10:50Z,3,8,75
2023-03-14T11:20Z,2,8,81
2023-03-14T12:50Z,3,6,75
2023-03-14T13:20Z,3,3,75
2023-03-14T13:50Z,4,5,65
2023-03-14T14:20Z,4,3,70
2023-03-14T14:50Z,5,5,66
